year,id,pref_jp,pref_en,a_len,pop,im_rate,em_rate,did,treat,income,cult,college,jcollege,spec,hedu,gexp,start,gap,pre11,pre10,pre9,pre8,pre7,pre6,pre5,pre4,pre3,pre2,pre1,current,post1,post2,post3,post4,post5,post6,post7,post8,post9
2012,31,鳥 取 県,Tottori-ken,51.8,58,1.57,1.82,0,0,2249,10953.6,0.34,0.17,3.95,4.46,1103.8,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,32,島 根 県,Shimane-ken,128,71,1.51,1.68,0,0,2363,9628.3,0.28,0.14,2.83,3.25,1363.8,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,33,岡 山 県,Okayama-ken,276.8,194,1.56,1.54,0,0,2705,9238.3,0.88,0.52,2.84,4.24,779.3,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,34,広 島 県,Hiroshima-ken,298.9,285,1.64,1.74,0,0,3004,8639.8,0.81,0.25,2.81,3.87,775.6,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,35,山 口 県,Yamaguchi-ken,257,143,1.57,1.83,0,0,2935,11466,0.7,0.35,2.87,3.92,894.7,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,36,徳 島 県,Tokushima-ken,105.2,78,1.36,1.46,0,0,2727,8604.1,0.52,0.39,2.58,3.49,1061.8,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,37,香 川 県,Kagawa-ken,88,99,1.92,1.9,0,0,2863,7966.8,0.4,0.2,2.53,3.13,831.5,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,38,愛 媛 県,Ehime-ken,185.6,142,1.32,1.49,0,0,2470,10471,0.35,0.35,2.97,3.67,866,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,39,高 知 県,Kochi-ken,97.6,75,1.27,1.53,0,0,2252,9622.2,0.4,0.27,3.32,3.99,1125.7,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,40,福 岡 県,Fukuoka-ken,121.7,509,2.02,1.85,1,1,2795,13778.4,0.67,0.39,3.34,4.4,780.8,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,41,佐 賀 県,Saga-ken,81.9,84,1.88,2.04,1,1,2419,21507.1,0.24,0.36,3.56,4.16,965.5,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,42,長 崎 県,Nagasaki-ken,46.2,141,1.69,2.04,0,0,2400,13033.9,0.71,0.21,2.91,3.83,1010.7,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,43,熊 本 県,Kumamoto-ken,111.1,181,1.65,1.71,1,1,2442,17362.3,0.5,0.11,2.88,3.49,875.3,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,44,大 分 県,Oita-ken,155.9,119,1.65,1.79,0,0,2489,12268.6,0.42,0.42,3.71,4.55,930.1,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,45,宮 崎 県,Miyazaki-ken,167.3,113,1.74,1.93,0,0,2281,14998.7,0.62,0.18,3.02,3.82,937.5,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,46,鹿児島県,Kagoshima-ken,105.1,169,1.67,1.88,0,0,2387,15671.8,0.36,0.3,2.9,3.56,958.1,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,47,沖 縄 県,Okinawa-ken,57.3,141,1.79,1.71,0,0,2035,18053.6,0.57,0.14,3.76,4.47,940.6,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,北 海 道,Hokkaido,657.9,543,0.88,1.03,0,1,2545,224791.5,0.66,0.31,3.3,4.27,1032.7,2016,-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,青 森 県,Aomori-ken,100,134,1.38,1.84,1,1,2426,28758.5,0.75,0.45,2.32,3.52,1101.1,2010,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
